id,transaction_type,transaction_created_date,transaction_modified_date,product_id,quantity,purchase_order_id,customer_order_id,comments
93,2,2006-03-24 14:55:39,2006-04-04 11:06:13,5,25,,,
113,1,2006-04-04 11:03:12,2006-04-04 11:03:12,72,50,,,
114,2,2006-04-04 11:03:14,2006-04-04 11:08:49,72,50,,,"Fill Back Ordered product, Order #46"
112,2,2006-04-04 11:02:58,2006-04-04 11:07:37,19,25,,,"Fill Back Ordered product, Order #48"
131,2,2006-04-04 11:41:39,2006-04-04 11:41:45,72,40,,,
105,1,2006-04-04 11:01:55,2006-04-04 11:01:55,8,25,,,
121,2,2006-04-04 11:36:39,2006-04-04 11:36:47,6,90,,,
96,3,2006-03-30 16:46:34,2006-03-30 16:46:34,34,12,,,
135,2,2006-04-04 11:43:05,2006-04-04 11:43:08,52,40,,,
85,2,2006-03-24 14:48:23,2006-04-04 11:41:14,4,10,,,
133,2,2006-04-04 11:42:24,2006-04-04 11:42:26,8,3,,,
101,2,2006-04-04 11:00:56,2006-04-04 11:08:49,57,100,,,"Fill Back Ordered product, Order #46"
123,2,2006-04-04 11:37:45,2006-04-04 11:37:49,48,40,,,
108,2,2006-04-04 11:02:19,2006-04-04 11:08:14,34,300,,,"Fill Back Ordered product, Order #47"
103,1,2006-04-04 11:01:35,2006-04-04 11:01:35,43,250,,,
74,1,2006-03-24 10:53:13,2006-03-24 10:53:13,48,100,,,
107,1,2006-04-04 11:02:17,2006-04-04 11:02:17,34,300,,,
91,2,2006-03-24 14:51:03,2006-04-04 11:09:24,40,50,,,
132,2,2006-04-04 11:42:17,2006-04-04 11:42:26,3,50,,,
52,1,2006-03-22 16:04:41,2006-03-22 16:04:41,74,20,,,
47,1,2006-03-22 16:04:20,2006-03-22 16:04:20,21,20,,,
45,1,2006-03-22 16:04:12,2006-03-22 16:04:12,19,20,,,
59,1,2006-03-22 16:05:47,2006-03-22 16:05:47,1,40,,,
49,1,2006-03-22 16:04:28,2006-03-22 16:04:28,41,40,,,
56,1,2006-03-22 16:05:14,2006-03-22 16:05:14,5,40,,,
36,1,2006-03-22 16:02:48,2006-03-22 16:02:48,72,40,,,
43,1,2006-03-22 16:04:02,2006-03-22 16:04:02,14,40,,,
51,1,2006-03-22 16:04:38,2006-03-22 16:04:38,51,40,,,
46,1,2006-03-22 16:04:17,2006-03-22 16:04:17,20,40,,,
42,1,2006-03-22 16:03:54,2006-03-22 16:03:54,8,40,,,
41,1,2006-03-22 16:03:47,2006-03-22 16:03:47,7,40,,,
57,1,2006-03-22 16:05:26,2006-03-22 16:05:26,65,40,,,
44,1,2006-03-22 16:04:07,2006-03-22 16:04:07,17,40,,,
55,1,2006-03-22 16:05:11,2006-03-22 16:05:11,4,40,,,
53,1,2006-03-22 16:04:45,2006-03-22 16:04:45,77,60,,,
60,1,2006-03-22 16:05:51,2006-03-22 16:05:51,34,60,,,
35,1,2006-03-22 16:02:28,2006-03-22 16:02:28,80,75,,,
39,1,2006-03-22 16:03:14,2006-03-22 16:03:14,57,80,,,
58,1,2006-03-22 16:05:32,2006-03-22 16:05:32,66,80,,,
54,1,2006-03-22 16:05:07,2006-03-22 16:05:07,3,100,,,
40,1,2006-03-22 16:03:40,2006-03-22 16:03:40,6,100,,,
37,1,2006-03-22 16:03:04,2006-03-22 16:03:04,52,100,,,
50,1,2006-03-22 16:04:31,2006-03-22 16:04:31,48,100,,,
61,1,2006-03-22 16:06:00,2006-03-22 16:06:00,43,100,,,
48,1,2006-03-22 16:04:24,2006-03-22 16:04:24,40,120,,,
38,1,2006-03-22 16:03:09,2006-03-22 16:03:09,56,120,,,
62,1,2006-03-22 16:06:03,2006-03-22 16:06:03,81,125,,,
72,1,2006-03-24 10:41:30,2006-03-24 10:41:30,81,200,,,
70,2,2006-03-22 16:11:56,2006-03-24 10:59:41,48,10,,,
65,2,2006-03-22 16:08:29,2006-03-22 16:08:59,51,10,,,
66,2,2006-03-22 16:08:37,2006-03-22 16:08:59,80,10,,,
64,2,2006-03-22 16:08:19,2006-03-22 16:08:59,7,10,,,
67,2,2006-03-22 16:09:46,2006-03-22 16:10:27,1,15,,,
