supplier_ids,id,product_code,product_name,description,standard_cost,list_price,reorder_level,target_level,quantity_per_unit,discontinued,minimum_reorder_quantity,category,attachments
9,83,NWTCS-83,Northwind Traders Potato Chips,,0.5,1.8,30,200,,0,,"Chips, Snacks",""
1,82,NWTC-82,Northwind Traders Granola,,2,4,20,100,,0,,Cereal,""
10,5,NWTO-5,Northwind Traders Olive Oil,,16.0125,21.35,10,40,36 boxes,0,10,Oil,""
8,66,NWTS-66,Northwind Traders Tomato Sauce,,12.75,17,20,80,24 - 8 oz jars,0,20,Sauces,""
2,7,NWTDFN-7,Northwind Traders Dried Pears,,22.5,30,10,40,12 - 1 lb pkgs.,0,10,Dried Fruit & Nuts,""
6,88,NWTCFV-88,Northwind Traders Pears,,1,1.3,10,40,15.25 OZ,0,,Canned Fruit & Vegetables,""
5,72,NWTD-72,Northwind Traders Mozzarella,,26.1,34.8,10,40,24 - 200 g pkgs.,0,10,Dairy `dl_northwind`.`products`,""
4,1,NWTB-1,Northwind Traders Chai,,13.5,18,10,40,10 boxes x 20 bags,0,10,Beverages,""
10,3,NWTCO-3,Northwind Traders Syrup,,7.5,10,25,100,12 - 550 ml bottles,0,25,Condiments,""
1,86,NWTBGM-86,Northwind Traders Cake Mix,,10.5,15.99,10,20,4 boxes,0,5,Baked Goods & Mixes,""
7,40,NWTCM-40,Northwind Traders Crab Meat,,13.8,18.4,30,120,24 - 4 oz tins,0,30,Canned Meat,""
1,56,NWTP-56,Northwind Traders Gnocchi,,28.5,38,30,120,24 - 250 g pkgs.,0,30,Pasta,""
2,80,NWTDFN-80,Northwind Traders Dried Plums,,3,3.5,50,75,1 lb bag,0,25,Dried Fruit & Nuts,""
4,34,NWTB-34,Northwind Traders Beer,,10.5,14,15,60,24 - 12 oz bottles,0,15,Beverages,""
1,19,NWTBGM-19,Northwind Traders Chocolate Biscuits Mix,,6.9,9.2,5,20,10 boxes x 12 pieces,0,5,Baked Goods & Mixes,""
10,77,NWTCO-77,Northwind Traders Mustard,,9.75,13,15,60,12 boxes,0,15,Condiments,""
6,93,NWTCFV-93,Northwind Traders Corn,,1,1.2,10,40,14.5 OZ,0,,Canned Fruit & Vegetables,""
7,96,NWTCM-96,Northwind Traders Smoked Salmon,,2,4,30,50,5 oz,0,,Canned Meat,""
1,57,NWTP-57,Northwind Traders Ravioli,,14.625,19.5,20,80,24 - 250 g pkgs.,0,20,Pasta,""
6,90,NWTCFV-90,Northwind Traders Pineapple,,1,1.8,10,40,15.25 OZ,0,,Canned Fruit & Vegetables,""
10,4,NWTCO-4,Northwind Traders Cajun Seasoning,,16.5,22,10,40,48 - 6 oz jars,0,10,Condiments,""
3,81,NWTB-81,Northwind Traders Green Tea,,2,2.99,100,125,20 bags per box,0,25,Beverages,""
2,51,NWTDFN-51,Northwind Traders Dried Apples,,39.75,53,10,40,50 - 300 g pkgs.,0,10,Dried Fruit & Nuts,""
1,52,NWTG-52,Northwind Traders Long Grain Rice,,5.25,7,25,100,16 - 2 kg boxes,0,25,Grains,""
10,48,NWTCA-48,Northwind Traders Chocolate,,9.5625,12.75,25,100,10 pkgs,0,25,Candy,""
7,87,NWTB-87,Northwind Traders Tea,,2,4,20,50,100 count per box,0,,Beverages,""
3;4,43,NWTB-43,Northwind Traders Coffee,,34.5,46,25,100,16 - 500 g tins,0,25,Beverages,""
6,91,NWTCFV-91,Northwind Traders Cherry Pie Filling,,1,2,10,40,15.25 OZ,0,,Canned Fruit & Vegetables,""
1,85,NWTBGM-85,Northwind Traders Brownie Mix,,9,12.49,10,20,3 boxes,0,5,Baked Goods & Mixes,""
6,94,NWTCFV-94,Northwind Traders Peas,,1,1.5,10,40,14.5 OZ,0,,Canned Fruit & Vegetables,""
6,17,NWTCFV-17,Northwind Traders Fruit Cocktail,,29.25,39,10,40,15.25 OZ,0,10,Canned Fruit & Vegetables,""
6,89,NWTCFV-89,Northwind Traders Peaches,,1,1.5,10,40,15.25 OZ,0,,Canned Fruit & Vegetables,""
2;6,6,NWTJP-6,Northwind Traders Boysenberry Spread,,18.75,25,25,100,12 - 8 oz jars,0,25,"Jams, Preserves",""
2;6,14,NWTDFN-14,Northwind Traders Walnuts,,17.4375,23.25,10,40,40 - 100 g pkgs.,0,10,Dried Fruit & Nuts,""
6,99,NWTSO-99,Northwind Traders Chicken Soup,,1,1.95,100,200,,0,,Soups,""
6,41,NWTSO-41,Northwind Traders Clam Chowder,,7.2375,9.65,10,40,12 - 12 oz cans,0,10,Soups,""
6,98,NWTSO-98,Northwind Traders Vegetable Soup,,1,1.89,100,200,,0,,Soups,""
2;6,20,NWTJP-6,Northwind Traders Marmalade,,60.75,81,10,40,30 gift boxes,0,10,"Jams, Preserves",""
8,8,NWTS-8,Northwind Traders Curry Sauce,,30,40,10,40,12 - 12 oz jars,0,10,Sauces,""
7,95,NWTCM-95,Northwind Traders Tuna Fish,,0.5,2,30,50,5 oz,0,,Canned Meat,""
6,92,NWTCFV-92,Northwind Traders Green Beans,,1,1.2,10,40,14.5 OZ,0,,Canned Fruit & Vegetables,""
1,97,NWTC-82,Northwind Traders Hot Cereal,,3,5,50,200,,0,,Cereal,""
2;6,74,NWTDFN-74,Northwind Traders Almonds,,7.5,10,5,20,5 kg pkg.,0,5,Dried Fruit & Nuts,""
1,21,NWTBGM-21,Northwind Traders Scones,,7.5,10,5,20,24 pkgs. x 4 pieces,0,5,Baked Goods & Mixes,""
8,65,NWTS-65,Northwind Traders Hot Pepper Sauce,,15.7875,21.05,10,40,32 - 8 oz bottles,0,10,Sauces,""
