id,purchase_order_id,product_id,quantity,unit_cost,date_received,posted_to_inventory,inventory_id
255,92,51,40,40,2006-01-22 00:00:00,1,51
246,92,17,40,29,2006-01-22 00:00:00,1,44
280,110,43,250,34,2006-04-10 00:00:00,1,103
247,92,19,20,7,2006-01-22 00:00:00,1,45
282,92,19,20,7,,0,
293,146,51,40,39,,0,
243,92,7,40,22,2006-01-22 00:00:00,1,41
240,91,4,40,16,2006-01-22 00:00:00,1,55
253,90,43,100,34,2006-01-22 00:00:00,1,61
244,92,8,40,30,2006-01-22 00:00:00,1,42
265,90,81,125,2,2006-01-22 00:00:00,1,62
269,99,43,300,34,2006-01-22 00:00:00,1,76
270,100,48,100,10,2006-01-22 00:00:00,1,74
288,140,85,10,9,,0,
249,92,21,20,8,2006-01-22 00:00:00,1,47
257,93,56,120,28,2006-01-22 00:00:00,1,38
278,108,8,25,30,2006-04-05 00:00:00,1,105
264,95,80,75,3,2006-01-22 00:00:00,1,35
248,92,20,40,61,2006-01-22 00:00:00,1,46
260,91,66,80,13,2006-01-22 00:00:00,1,58
289,141,6,10,18.75,,0,
266,96,34,100,10,2006-01-22 00:00:00,1,82
279,109,19,25,7,2006-04-05 00:00:00,1,109
285,91,3,50,8,,0,
241,91,5,40,16,2006-01-22 00:00:00,1,56
273,103,19,10,7,2006-04-17 00:00:00,1,111
263,92,77,60,10,2006-01-22 00:00:00,1,53
254,92,48,100,10,2006-01-22 00:00:00,1,50
258,93,57,80,15,2006-01-22 00:00:00,1,39
277,107,34,300,10,2006-04-05 00:00:00,1,107
251,92,40,120,14,2006-01-22 00:00:00,1,48
267,97,19,30,7,2006-01-22 00:00:00,1,80
252,92,41,40,7,2006-01-22 00:00:00,1,49
256,93,52,100,5,2006-01-22 00:00:00,1,37
274,104,41,50,7,2006-04-06 00:00:00,1,115
262,92,74,20,8,2006-01-22 00:00:00,1,52
276,106,72,50,26,2006-04-05 00:00:00,1,113
239,91,3,100,8,2006-01-22 00:00:00,1,54
290,142,1,1,13.5,,0,
238,90,1,40,14,2006-01-22 00:00:00,1,59
261,94,72,40,26,2006-01-22 00:00:00,1,36
281,90,1,40,14,,0,
271,101,81,200,2,2006-01-22 00:00:00,1,72
272,102,43,300,34,,0,
242,92,6,100,19,2006-01-22 00:00:00,1,40
286,91,4,40,16,,0,
283,111,34,50,10,2006-04-04 00:00:00,1,102
275,105,57,100,15,2006-04-05 00:00:00,1,100
245,92,14,40,17,2006-01-22 00:00:00,1,43
268,98,41,200,7,2006-01-22 00:00:00,1,78
292,146,20,40,60,,0,
259,91,65,40,16,2006-01-22 00:00:00,1,57
250,90,34,60,10,2006-01-22 00:00:00,1,60
294,147,40,120,13,,0,
295,148,72,40,26,,0,
